Date,oof_prediction,pred_z,abs_pred_z,y_next_log_return,target_up,target_correct,Macro_Fast,Market_State
2015-07-28,-0.0001003315921648,0.92955556489719,0.92955556489719,-0.0032892656426388,0,1,0.579355221703075,bear_risk_on
2015-07-29,-0.0001003315921648,0.9229122946891914,0.9229122946891914,-0.0039429027738417,0,1,0.5705832578388674,bear_risk_on
2015-07-30,-0.0001003315921648,0.923492796202552,0.923492796202552,0.0059543068393814,1,0,0.6092303899842682,bear_risk_on
2015-07-31,-0.0003560313442528,-0.2282289483042254,0.2282289483042254,0.0,0,0,-0.0719163153852874,bear_risk_on
2015-08-01,-9.992543017506492e-05,0.9257565570590062,0.9257565570590062,0.0,0,0,1.1072011487397138,bear_risk_on
2015-08-02,-9.992543017506492e-05,0.9258467105980484,0.9258467105980484,-0.0050359488191396,0,1,0.5295058850213172,bear_risk_on
2015-08-03,-0.0001003315921648,0.9241051509449544,0.9241051509449544,0.0011925390293695,1,0,0.684618171135362,bear_risk_on
2015-08-04,-0.0001182382500129,0.8439069518632425,0.8439069518632425,-0.0045947519037862,0,1,1.404030745968729,bear_risk_on
2015-08-05,-0.0001003315921648,0.9244349454853896,0.9244349454853896,0.0041362255786654,1,0,1.0695748799083549,bear_risk_on
2015-08-06,-0.0002127894906156,0.412294430160364,0.412294430160364,0.0035709648626082,1,0,0.516934510329022,bear_neutral
2015-08-07,-0.0003485053136594,-0.2009825982673216,0.2009825982673216,0.0,0,0,0.7132120139355169,bear_risk_on
2015-08-08,-9.992543017506492e-05,0.927251160869001,0.927251160869001,0.0,0,0,0.7375840026512201,bear_risk_on
2015-08-09,-9.992543017506492e-05,0.9275776443389254,0.9275776443389254,0.0091889609270181,1,0,0.7355339188193651,bear_risk_on
2015-08-10,-0.0003802064270124,-0.3385859074228993,0.3385859074228993,0.0030744441544097,1,0,0.8744339215124306,bear_risk_on
2015-08-11,-0.0002988503059722,0.0232990231565714,0.0232990231565714,0.0139862200178554,1,0,0.0428690898440657,bear_neutral
2015-08-12,-0.0006150132770183,-1.4141325321127418,1.4141325321127418,-0.0066997439656726,0,1,0.6066568304913256,bear_risk_on
2015-08-13,-0.0002502569783991,0.2528849855866095,0.2528849855866095,-0.0025127241358578,0,1,1.3609974563772311,bear_risk_on
2015-08-14,-0.0003351384421707,-0.1302685132854841,0.1302685132854841,0.0,0,0,0.9150588724445544,bear_risk_on
