Date,Market_State,pred_z,regime_weight,pred_z_weighted,raw_signal,signal,hold_day,position,y_next_log_return,strategy_ret,equity
2024-06-25,sideways_risk_on,1.7892047268027136,0.0,0.0,0,0,0,2.6388279066522405e-09,-0.0075394207886206,-5.1717205872504384e-11,1.0067869689660705
2024-06-26,sideways_risk_on,-0.04975855124725623,0.0,-0.0,0,0,0,1.0555311626608963e-09,0.0109437471176397,2.808701692537699e-11,1.0067869689943483
2024-06-27,sideways_risk_on,0.948976651121963,0.0,0.0,0,0,0,4.2221246506435853e-10,0.0013756723865509,1.1354057248182926e-12,1.0067869689954914
2024-06-28,sideways_risk_on,-0.8200644714625812,0.0,-0.0,0,0,0,1.6888498602574342e-10,0.0,-1.2666373951930757e-13,1.006786968995364
2024-06-29,sideways_risk_on,-0.8110511234481832,0.0,-0.0,0,0,0,6.755399441029737e-11,0.0,-5.066549580772303e-14,1.0067869689953128
2024-06-30,sideways_risk_on,-0.8103229617547296,0.0,-0.0,0,0,0,2.702159776411895e-11,-4.289863122224106e-05,-2.3164172216885892e-14,1.0067869689952895
2024-07-01,sideways_risk_on,-0.8179452533975284,0.0,-0.0,0,0,0,1.0808639105647581e-11,-0.0019782821155589,-6.156282291981857e-14,1.0067869689952276
2024-07-02,sideways_risk_on,0.2500657858957383,0.0,0.0,0,0,0,4.323455642259033e-12,0.015717436659881,1.6664150879083439e-13,1.0067869689953952
2024-07-03,sideways_risk_on,0.9069669452148467,0.0,0.0,0,0,0,1.7293822569036132e-12,0.0,-1.2970366926777097e-15,1.0067869689953939
2024-07-04,bull_risk_on,-1.1973151247258127,0.0,-0.0,0,0,0,6.917529027614454e-13,0.0120886633997263,2.038710531609569e-14,1.0067869689954145
2024-07-05,bull_risk_on,1.715692372692625,0.0,0.0,0,0,0,2.7670116110457815e-13,0.0,-2.0752587082843362e-16,1.0067869689954143
2024-07-06,bull_risk_on,-0.10633728603515814,0.0,-0.0,0,0,0,1.1068046444183127e-13,0.0,-8.301034833137344e-17,1.006786968995414
2024-07-07,bull_risk_on,-0.1109082083277776,0.0,-0.0,0,0,0,4.427218577673251e-14,-0.0140399251004868,-1.5871495701829529e-15,1.0067869689954125
2024-07-08,bull_risk_on,0.19173969599503168,0.0,0.0,0,0,0,1.7708874310693005e-14,0.00207840379744,7.873382330631024e-17,1.0067869689954125
2024-07-09,bull_risk_on,-1.2373781310718108,0.0,-0.0,0,0,0,7.083549724277202e-15,0.0051137414122741,8.524594163413988e-17,1.0067869689954125
2024-07-10,bull_neutral,0.5449210709683123,0.6666666666666666,0.36328071397887485,0,0,0,2.833419889710881e-15,0.017881513147429,1.2453952260784671e-16,1.0067869689954128
2024-07-11,bull_neutral,1.7334207855861414,0.6666666666666666,1.1556138570574275,1,0,0,1.1333679558843526e-15,-0.0004141644291962,-2.0235276982085313e-18,1.0067869689954128
2024-07-12,bull_risk_on,1.0070419584683517,0.0,0.0,0,0,0,4.53347182353741e-16,0.0,-3.400103867653058e-19,1.0067869689954128
2024-07-13,bull_risk_on,0.6907312406556196,0.0,0.0,0,0,0,1.8133887294149642e-16,0.0,-1.360041547061223e-19,1.0067869689954128
2024-07-14,bull_risk_on,0.6845337810781895,0.0,0.0,0,0,0,7.253554917659858e-17,0.0036800067085079,6.129266070555196e-19,1.0067869689954128
2024-07-15,bull_neutral,0.5456538816296578,0.6666666666666666,0.3637692544197718,0,0,0,2.901421967063943e-17,0.0161713149200589,1.151234543881215e-18,1.0067869689954128
2024-07-16,bull_neutral,1.7002548438005534,0.6666666666666666,1.1335032292003688,1,0,0,1.1605687868255772e-17,-0.0030911328102088,-9.839107228771094e-20,1.0067869689954128
2024-07-17,bull_risk_off,1.2646959427956634,0.0,0.0,0,0,0,4.642275147302309e-18,-0.0012228428296241,-1.767363855302871e-20,1.0067869689954128
2024-07-18,bull_risk_off,-0.1516396447548365,0.0,-0.0,0,0,0,1.8569100589209237e-18,-0.0232304913230337,-1.0923501507273197e-19,1.0067869689954128
2024-07-19,bull_risk_off,-0.1868978479196554,0.0,-0.0,0,0,0,7.427640235683696e-19,0.0,-5.570730176762771e-22,1.0067869689954128
2024-07-20,bull_risk_off,0.6210608181445983,0.0,0.0,0,0,0,2.9710560942734786e-19,0.0,-2.2282920707051084e-22,1.0067869689954128
2024-07-21,bull_risk_off,0.6150972154564722,0.0,0.0,0,0,0,1.1884224377093914e-19,-0.0014621412526544,-5.235420507669556e-22,1.0067869689954128
